ade;status;serviço;Loja;tipo_x;valor_x;situacao_x;tipo_y;valor_y;situacao_y;seguro;status_aguardandoRetornoDaSeguradora;Numero loja
82530780;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 181,94;Emitida -;;;;;;
82543151;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.429,85;Emitida -;;;;;;
82543515;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 355,25;Emitida -;;;;;;
82544499;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.221,07;Emitida -;;;;;;
82545462;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.759,13;Emitida -;;;;;;
82546310;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 357,91;Emitida -;;;;;;
82546632;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 404,31;Emitida -;;;;;;
82547170;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.407,00;Emitida -;;;;;;
82550015;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 143,01;Emitida -;;;;;;
82551153;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 788,35;Emitida -;;;;;;
82552572;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 355,98;Emitida -;;;;;;
82557056;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 212,67;Emitida -;;;;;;
82559096;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 584,13;Emitida -;;;;;;
82567595;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 265,48;Emitida -;;;;;;
82571623;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 117,55;Emitida -;;;;;;
82573159;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 110,34;Emitida -;;;;;;
82573388;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 828,83;Emitida -;;;;;;
82574443;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 144,33;Emitida -;;;;;;
82580947;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.517,57;Emitida -;;;;;;
82581664;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 164,84;Emitida -;;;;;;
82582720;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 273,42;Emitida -;;;;;;
82584613;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 581,13;Emitida -;;;;;;
82584829;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 139,72;Emitida -;;;;;;
82585788;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 775,00;Emitida -;;;;;;
82587835;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 602,96;Emitida -;;;;;;
82597121;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 441,06;Emitida -;;;;;;
82597161;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 132,73;Emitida -;;;;;;
82598294;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 107,60;Emitida -;;;;;;
82599008;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 131,37;Emitida -;;;;;;
82599488;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 751,75;Emitida -;;;;;;
82601681;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 3.000,00;Emitida -;;;;;;
82602708;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 848,60;Emitida -;;;;;;
82604951;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 251,20;Emitida -;;;;;;
82605210;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 280,99;Emitida -;;;;;;
82605882;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.026,20;Emitida -;;;;;;
82606428;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 711,86;Emitida -;;;;;;
82607546;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 204,41;Emitida -;;;;;;
82608712;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 488,10;Emitida -;;;;;;
82608743;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 372,44;Emitida -;;;;;;
82610019;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 335,81;Emitida -;;;;;;
82610290;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 104,89;Emitida -;;;;;;
82611769;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 149,09;Emitida -;;;;;;
82623305;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 164,70;Emitida -;;;;;;
82623417;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 795,20;Emitida -;;;;;;
82624888;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 2.905,00;Emitida -;;;;;;
82626678;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 118,33;Emitida -;;;;;;
82626918;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 178,45;Emitida -;;;;;;
82627824;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 124,36;Emitida -;;;;;;
82632674;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 179,87;Emitida -;;;;;;
82635598;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 151,77;Emitida -;;;;;;
82635763;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 206,25;Emitida -;;;;;;
82639559;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 183,23;Emitida -;;;;;;
82641069;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.102,40;Emitida -;;;;;;
82646729;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 310,37;Emitida -;;;;;;
82646746;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.870,00;Emitida -;;;;;;
82647610;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 814,99;Emitida -;;;;;;
82647642;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 483,49;Emitida -;;;;;;
82647926;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.451,00;Emitida -;;;;;;
82649338;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 115,87;Emitida -;;;;;;
82649902;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 343,66;Emitida -;;;;;;
82650342;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 3.750,00;Emitida -;;;;;;
82654672;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 190,59;Emitida -;;;;;;
82655566;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.407,00;Emitida -;;;;;;
82655729;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 539,93;Emitida -;;;;;;
82656108;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 161,41;Emitida -;;;;;;
82657235;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 703,16;Emitida -;;;;;;
82657614;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 701,65;Emitida -;;;;;;
82661774;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 3.000,00;Emitida -;;;;;;
82663360;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 140,12;Emitida -;;;;;;
82664643;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 717,69;Emitida -;;;;;;
82664710;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.196,85;Emitida -;;;;;;
82667842;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 413,66;Emitida -;;;;;;
82680498;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.242,06;Emitida -;;;;;;
82683134;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 436,30;Emitida -;;;;;;
82683213;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.090,19;Emitida -;;;;;;
